iter	Passed	Remaining
418	2269	3147
419	2274	3140
420	2278	3133
421	2282	3126
422	2287	3120
423	2291	3113
424	2295	3105
425	2300	3099
426	2304	3092
427	2308	3084
428	2312	3077
429	2316	3071
430	2321	3064
431	2325	3057
432	2329	3050
433	2333	3043
434	2338	3036
435	2342	3029
436	2346	3022
437	2350	3016
438	2354	3008
439	2358	3002
440	2363	2995
441	2367	2989
442	2374	2985
443	2377	2977
444	2382	2971
445	2386	2964
446	2391	2958
447	2395	2951
448	2400	2945
449	2404	2939
450	2409	2932
451	2413	2925
452	2417	2919
453	2422	2913
454	2426	2906
455	2431	2900
456	2435	2893
457	2439	2887
458	2444	2880
459	2448	2874
460	2453	2868
461	2457	2861
462	2462	2855
463	2466	2848
464	2470	2842
465	2475	2836
466	2479	2829
467	2483	2823
468	2488	2816
469	2492	2811
470	2497	2805
471	2502	2799
472	2506	2792
473	2511	2786
474	2515	2780
475	2519	2773
476	2523	2767
477	2528	2761
478	2533	2755
479	2537	2748
480	2542	2742
481	2545	2735
482	2550	2729
483	2554	2723
484	2559	2717
485	2562	2710
486	2566	2703
487	2571	2697
488	2575	2691
489	2580	2685
490	2584	2678
491	2588	2672
492	2593	2666
493	2597	2660
494	2601	2654
495	2605	2647
496	2610	2641
497	2614	2635
498	2618	2628
499	2621	2621
500	2626	2616
501	2631	2610
502	2635	2603
503	2638	2596
504	2642	2590
505	2646	2583
506	2650	2577
507	2654	2570
508	2658	2564
509	2662	2558
510	2666	2551
511	2670	2545
512	2674	2539
513	2679	2533
514	2684	2527
515	2687	2521
516	2692	2515
517	2695	2508
518	2699	2502
519	2703	2495
520	2708	2489
521	2711	2483
522	2715	2476
523	2718	2469
524	2722	2462
525	2726	2456
526	2730	2451
527	2735	2445
528	2738	2438
529	2742	2431
530	2746	2425
531	2750	2419
532	2753	2412
533	2757	2406
534	2761	2400
535	2765	2394
536	2769	2387
537	2773	2381
538	2777	2375
539	2782	2369
540	2785	2363
541	2789	2357
542	2794	2351
543	2798	2345
544	2802	2339
545	2807	2334
546	2811	2328
547	2815	2322
548	2819	2316
549	2823	2310
550	2827	2303
551	2831	2297
552	2834	2291
553	2839	2285
554	2843	2279
555	2847	2273
556	2851	2268
557	2855	2262
558	2859	2256
559	2863	2250
560	2867	2244
561	2872	2238
562	2876	2232
563	2880	2226
564	2884	2220
565	2888	2214
566	2892	2208
567	2896	2202
568	2900	2197
569	2904	2191
570	2908	2185
571	2912	2179
572	2917	2174
573	2921	2168
574	2926	2162
575	2930	2156
576	2934	2151
577	2938	2145
578	2942	2139
579	2946	2133
580	2950	2127
581	2954	2122
