iter	Passed	Remaining
449	1096	1340
450	1099	1338
451	1102	1337
452	1105	1335
453	1108	1333
454	1111	1331
455	1115	1330
456	1118	1329
457	1121	1327
458	1125	1326
459	1128	1324
460	1130	1322
461	1133	1319
462	1136	1318
463	1139	1315
464	1142	1313
465	1144	1311
466	1146	1309
467	1149	1306
468	1151	1303
469	1153	1300
470	1156	1299
471	1159	1297
472	1163	1295
473	1165	1293
474	1168	1291
475	1170	1288
476	1173	1286
477	1175	1283
478	1177	1280
479	1179	1277
480	1181	1274
481	1184	1272
482	1186	1269
483	1188	1266
484	1191	1265
485	1193	1262
486	1195	1259
487	1198	1256
488	1200	1254
489	1202	1251
490	1204	1248
491	1206	1245
492	1209	1243
493	1211	1240
494	1213	1237
495	1215	1234
496	1218	1232
497	1220	1230
498	1222	1227
499	1224	1224
500	1226	1221
501	1228	1218
502	1230	1216
503	1233	1213
504	1235	1210
505	1237	1208
506	1239	1205
507	1241	1202
508	1243	1199
509	1245	1196
510	1247	1194
511	1249	1190
512	1252	1188
513	1254	1186
514	1256	1183
515	1259	1181
516	1260	1178
517	1263	1175
518	1265	1172
519	1267	1169
520	1269	1167
521	1271	1164
522	1273	1161
523	1275	1158
524	1277	1156
525	1279	1152
526	1281	1150
527	1283	1147
528	1285	1144
529	1287	1142
530	1289	1139
531	1291	1136
532	1293	1133
533	1295	1130
534	1297	1128
535	1299	1124
536	1301	1122
537	1303	1119
538	1305	1116
539	1307	1114
540	1309	1111
541	1311	1108
542	1313	1105
543	1315	1102
544	1317	1100
545	1320	1097
546	1321	1094
547	1323	1091
548	1326	1089
549	1328	1087
550	1330	1084
551	1333	1082
552	1334	1078
553	1337	1076
554	1338	1073
555	1341	1071
556	1342	1068
557	1346	1066
558	1348	1063
559	1350	1060
560	1352	1058
561	1354	1055
562	1356	1052
563	1358	1050
564	1360	1047
565	1362	1044
566	1364	1042
567	1366	1039
568	1368	1036
569	1370	1033
570	1372	1031
571	1374	1028
572	1376	1025
573	1379	1023
574	1381	1021
575	1384	1018
576	1385	1016
577	1387	1013
578	1389	1010
579	1391	1007
580	1394	1005
581	1395	1002
582	1398	1000
583	1400	997
584	1402	994
585	1404	992
586	1406	989
587	1408	987
588	1411	985
589	1414	982
590	1416	980
591	1419	978
592	1422	975
593	1424	973
594	1427	971
595	1429	969
596	1433	967
597	1435	965
598	1437	962
599	1439	959
600	1441	957
601	1443	954
602	1445	951
603	1447	948
604	1449	946
605	1451	943
606	1453	941
607	1455	938
608	1457	936
609	1460	933
610	1462	931
611	1464	928
612	1467	926
613	1468	923
614	1471	921
615	1473	918
616	1476	916
617	1478	913
618	1480	911
619	1482	908
620	1485	906
621	1486	903
622	1489	901
623	1491	898
624	1494	896
625	1496	893
626	1498	891
627	1499	888
628	1502	885
629	1503	883
630	1506	880
631	1508	878
632	1510	875
633	1512	873
634	1514	870
635	1516	868
636	1518	865
637	1521	863
638	1523	860
639	1525	858
640	1528	855
641	1529	852
642	1532	850
643	1533	847
644	1535	845
645	1537	842
646	1540	840
647	1542	837
648	1544	835
649	1546	832
650	1548	830
651	1550	827
652	1552	825
653	1554	822
654	1556	820
655	1559	817
656	1560	814
657	1563	812
658	1564	809
659	1567	807
660	1568	804
661	1571	802
662	1574	800
663	1575	797
664	1578	794
665	1579	792
666	1581	789
667	1583	787
668	1585	784
669	1587	781
670	1590	779
671	1591	776
672	1594	774
673	1596	772
674	1598	769
675	1600	767
676	1602	764
677	1605	762
678	1607	759
679	1608	757
680	1611	754
681	1612	751
682	1615	749
683	1616	746
684	1619	744
685	1621	742
686	1623	739
687	1625	737
688	1627	734
689	1630	732
690	1631	729
691	1633	727
692	1635	724
693	1637	722
694	1639	719
695	1641	716
696	1644	714
697	1645	712
698	1648	709
699	1650	707
700	1652	704
701	1654	702
702	1656	699
703	1658	697
704	1659	694
705	1662	692
706	1664	689
707	1666	687
708	1667	684
709	1670	682
710	1672	679
711	1674	677
712	1677	675
713	1679	672
714	1681	670
715	1683	667
716	1684	665
717	1686	662
718	1688	660
719	1690	657
720	1693	655
721	1694	652
722	1697	650
723	1699	647
724	1701	645
725	1703	643
726	1706	640
727	1707	638
728	1710	635
729	1711	633
730	1713	630
731	1715	628
732	1717	625
733	1719	623
734	1722	620
735	1723	618
736	1725	615
737	1727	613
738	1729	610
739	1731	608
740	1734	606
741	1735	603
742	1738	601
743	1740	598
744	1742	596
745	1744	593
746	1746	591
747	1749	589
748	1750	586
749	1753	584
750	1755	582
751	1757	579
752	1759	577
753	1761	574
754	1764	572
755	1765	569
756	1768	567
757	1769	564
758	1772	562
759	1774	560
760	1776	557
761	1778	555
762	1779	552
763	1781	550
764	1783	547
765	1785	545
766	1788	543
767	1789	540
768	1792	538
769	1794	535
770	1796	533
771	1798	531
772	1799	528
773	1803	526
774	1805	524
775	1807	521
776	1809	519
777	1811	516
778	1814	514
779	1816	512
780	1817	509
781	1820	507
782	1821	504
783	1824	502
784	1826	500
785	1828	497
786	1831	495
787	1833	493
788	1835	490
789	1837	488
790	1839	486
791	1842	483
792	1843	481
793	1846	479
794	1848	476
795	1850	474
796	1852	471
797	1854	469
798	1856	467
799	1858	464
800	1860	462
801	1862	459
802	1864	457
803	1866	455
804	1869	452
805	1870	450
806	1872	447
807	1874	445
808	1877	443
809	1879	440
810	1881	438
811	1883	436
812	1885	433
813	1887	431
814	1890	429
815	1892	426
816	1894	424
817	1897	422
818	1899	419
819	1901	417
820	1903	415
821	1906	412
822	1908	410
823	1910	408
824	1912	405
825	1914	403
826	1917	401
827	1919	398
828	1921	396
829	1924	394
830	1926	391
831	1929	389
832	1932	387
833	1934	385
834	1936	382
835	1939	380
836	1941	378
837	1944	375
838	1946	373
839	1949	371
840	1951	369
841	1953	366
842	1956	364
843	1959	362
844	1962	359
845	1963	357
846	1966	355
847	1969	353
848	1987	353
849	1990	351
850	1992	348
851	1994	346
852	1997	344
853	2000	341
854	2002	339
855	2004	337
856	2007	335
857	2010	332
858	2012	330
859	2014	328
860	2017	325
861	2020	323
862	2022	320
863	2024	318
864	2027	316
865	2029	314
866	2031	311
867	2034	309
868	2037	307
869	2039	304
870	2041	302
871	2044	300
872	2046	297
873	2048	295
874	2051	293
875	2054	290
876	2057	288
877	2059	286
878	2061	283
879	2064	281
880	2065	279
881	2068	276
882	2071	274
883	2073	272
884	2076	269
885	2078	267
886	2081	265
887	2084	262
888	2085	260
889	2088	258
890	2091	255
891	2093	253
892	2095	251
893	2098	248
894	2100	246
895	2102	244
896	2105	241
897	2106	239
898	2109	236
899	2111	234
900	2113	232
901	2115	229
902	2118	227
903	2119	225
904	2122	222
905	2123	220
906	2125	217
907	2127	215
908	2129	213
909	2132	210
910	2134	208
911	2137	206
912	2139	203
913	2141	201
914	2143	199
915	2145	196
916	2147	194
917	2150	192
918	2152	189
919	2155	187
920	2157	185
921	2158	182
922	2161	180
923	2163	177
924	2165	175
925	2168	173
926	2169	170
927	2172	168
928	2174	166
929	2176	163
930	2178	161
931	2181	159
932	2182	156
933	2184	154
934	2187	152
935	2188	149
936	2191	147
937	2193	144
938	2195	142
939	2197	140
940	2199	137
941	2201	135
942	2203	133
943	2205	130
944	2207	128
945	2209	126
946	2211	123
947	2212	121
948	2215	119
949	2218	116
950	2219	114
951	2222	112
952	2224	109
953	2226	107
954	2228	105
955	2230	102
956	2232	100
957	2235	97
958	2236	95
959	2239	93
960	2241	90
961	2243	88
962	2245	86
963	2247	83
964	2249	81
965	2251	79
966	2253	76
967	2255	74
968	2257	72
969	2260	69
970	2261	67
971	2263	65
972	2266	62
973	2267	60
974	2269	58
975	2271	55
976	2274	53
977	2276	51
978	2278	48
979	2280	46
980	2282	44
981	2284	41
982	2286	39
983	2288	37
984	2289	34
985	2292	32
986	2295	30
987	2296	27
988	2299	25
989	2301	23
990	2303	20
991	2305	18
992	2307	16
993	2310	13
994	2311	11
995	2314	9
996	2315	6
997	2318	4
998	2319	2
999	2322	0
